city,timestamp,temperature,season
New York,2010-01-01,5.101576788138168,winter
New York,2010-01-02,3.5373337014830435,winter
New York,2010-01-03,7.225184911530395,winter
New York,2010-01-04,3.350565371361078,winter
New York,2010-01-05,4.3743976945856256,winter
New York,2010-01-06,1.463015289075801,winter
New York,2010-01-07,2.8275390331878247,winter
New York,2010-01-08,4.672132422322491,winter
New York,2010-01-09,3.8945931122021897,winter
New York,2010-01-10,-2.4102146027124025,winter
New York,2010-01-11,-8.416525709599036,winter
New York,2010-01-12,-5.995437338416899,winter
New York,2010-01-13,-0.14218799798130466,winter
New York,2010-01-14,1.428555439064999,winter
New York,2010-01-15,3.1040402033055505,winter
New York,2010-01-16,1.182729193267917,winter
New York,2010-01-17,0.8091812397038207,winter
New York,2010-01-18,-10.686272252040926,winter
New York,2010-01-19,0.2789625581181324,winter
New York,2010-01-20,-8.075109033862166,winter
New York,2010-01-21,-0.9339549099300538,winter
New York,2010-01-22,-5.695983381770599,winter
New York,2010-01-23,2.539155487827224,winter
New York,2010-01-24,5.658502474104844,winter
New York,2010-01-25,-7.044113854238877,winter
New York,2010-01-26,-4.351144361872529,winter
New York,2010-01-27,0.7262145168549679,winter
New York,2010-01-28,5.637116740662373,winter
New York,2010-01-29,-0.04789210971895354,winter
New York,2010-01-30,-4.887117409837949,winter
New York,2010-01-31,1.1825807024357868,winter
New York,2010-02-01,1.4669393587220003,winter
New York,2010-02-02,-2.5822535308348864,winter
New York,2010-02-03,-0.7052544099707081,winter
New York,2010-02-04,2.6023422013924464,winter
New York,2010-02-05,0.5983382671121505,winter
New York,2010-02-06,-2.1390378422831176,winter
New York,2010-02-07,-3.5392034350114914,winter
New York,2010-02-08,-5.4143397258296115,winter
New York,2010-02-09,1.070352082272681,winter
New York,2010-02-10,-3.728024077925955,winter
New York,2010-02-11,-4.359586068679979,winter
New York,2010-02-12,-1.5764296511551843,winter
New York,2010-02-13,-9.455836246253513,winter
New York,2010-02-14,-7.997067163255643,winter
New York,2010-02-15,-5.878606969540541,winter
New York,2010-02-16,11.189309257189688,winter
New York,2010-02-17,-3.3361140599616954,winter
New York,2010-02-18,3.796754851847735,winter
New York,2010-02-19,-9.160417209074593,winter
New York,2010-02-20,11.469471330565558,winter
New York,2010-02-21,-2.571626828656393,winter
New York,2010-02-22,-1.819595413311865,winter
New York,2010-02-23,-6.48444490211968,winter
New York,2010-02-24,8.565777551729974,winter
New York,2010-02-25,4.784795709992869,winter
New York,2010-02-26,2.7379213421724224,winter
New York,2010-02-27,5.765948039601383,winter
New York,2010-02-28,-2.382931666064112,winter
New York,2010-03-01,15.75379914675423,spring
New York,2010-03-02,7.340825445897572,spring
New York,2010-03-03,18.687376498228907,spring
New York,2010-03-04,3.3901942366899114,spring
New York,2010-03-05,1.9513439069455991,spring
New York,2010-03-06,17.20508198676093,spring
New York,2010-03-07,10.497250358590025,spring
New York,2010-03-08,2.633645994493376,spring
New York,2010-03-09,10.650655546123355,spring
New York,2010-03-10,4.379360095283047,spring
New York,2010-03-11,4.681933924867261,spring
New York,2010-03-12,-0.6901211548557189,spring
New York,2010-03-13,7.48189261358055,spring
New York,2010-03-14,6.415732162643536,spring
New York,2010-03-15,16.50059731071341,spring
New York,2010-03-16,7.820213396962619,spring
New York,2010-03-17,8.116833505762338,spring
New York,2010-03-18,10.120194903944373,spring
New York,2010-03-19,17.898330817848034,spring
New York,2010-03-20,6.966449286243299,spring
New York,2010-03-21,4.474530359337243,spring
New York,2010-03-22,5.796253015415412,spring
New York,2010-03-23,9.737880266219376,spring
New York,2010-03-24,16.88316376721461,spring
New York,2010-03-25,12.926599734364705,spring
New York,2010-03-26,4.78281915923858,spring
New York,2010-03-27,21.04136459447306,spring
New York,2010-03-28,0.7062048429381669,spring
New York,2010-03-29,12.547903905576032,spring
New York,2010-03-30,16.35522524568578,spring
New York,2010-03-31,-0.6742927611185294,spring
New York,2010-04-01,6.4752908539899305,spring
New York,2010-04-02,11.292140855275015,spring
New York,2010-04-03,6.265909318443604,spring
New York,2010-04-04,19.250806671622314,spring
